,normal_percentiles,playtime_percentiles
0.443,0.6314944240729422,0.6813510507709702
0.444,0.6316684002565788,0.6813510507709702
0.445,0.631848917644615,0.6813510507709702
0.446,0.6320295914079497,0.6813510507709702
0.447,0.6322223388296301,0.6813510507709702
0.448,0.6323884210546361,0.6813510507709702
0.449,0.632541203879118,0.6813510507709702
0.45,0.6327529606809559,0.6813510507709702
0.451,0.6329502763419118,0.6813510507709702
0.452,0.6331296638620777,0.6813510507709702
0.453,0.6333059641525229,0.6813510507709702
0.454,0.6334968870073553,0.6813510507709702
0.455,0.6336933775402448,0.6813510507709702
0.456,0.6338526007910308,0.6813510507709702
0.457,0.6340613829417036,0.6813510507709702
0.458,0.6342965220543113,0.6813510507709702
0.459,0.6345106406180555,0.6813510507709702
0.46,0.6347274575124628,0.6813510507709702
0.461,0.6349294369246107,0.6813510507709702
0.462,0.6351253149974417,0.6813510507709702
0.463,0.6353371439398667,0.6813510507709702
0.464,0.635476583028941,0.6813510507709702
0.465,0.6356566617706622,0.6813510507709702
0.466,0.6358482845499845,0.6813510507709702
0.467,0.6360440336799109,0.6813510507709702
0.468,0.6362107264999599,0.6813510507709702
0.469,0.6363752716558637,0.6813510507709702
0.47,0.6365212811693438,0.6813510507709702
0.471,0.636699163048276,0.6813510507709702
0.472,0.6368982529945426,0.6813510507709702
0.473,0.6370876190760894,0.6813510507709702
0.474,0.6372386043165168,0.6813510507709702
0.475,0.6374444012120191,0.6813510507709702
0.476,0.6376645135774813,0.6813510507709702
0.477,0.6378238960702542,0.6813510507709702
0.478,0.6379399807174074,0.6813510507709702
0.479,0.6381694060833848,0.6813510507709702
0.48,0.6383181045358683,0.6813510507709702
0.481,0.6384934455714938,0.6813510507709702
0.482,0.6387000151698063,0.6813510507709702
0.483,0.6388810211069016,0.6813510507709702
0.484,0.6391151918230611,0.6813510507709702
0.485,0.6393065926779942,0.6813510507709702
0.486,0.6395076366217614,0.6813510507709702
0.487,0.63969338040569,0.6813510507709702
0.488,0.6398286827441652,0.6813510507709702
0.489,0.6400228527160995,0.6813510507709702
0.49,0.6401648268036512,0.6813510507709702
0.491,0.6403732593978567,0.6813510507709702
0.492,0.6405663890234201,0.6813510507709702
0.493,0.6407478831706637,0.6813510507709702
0.494,0.6409515322794282,0.6813510507709702
0.495,0.6411257047106077,0.6813510507709702
0.496,0.6413485735912166,0.6813510507709702
0.497,0.6415631522886341,0.6813510507709702
0.498,0.6417058108947891,0.6813510507709702
0.499,0.6418985121256582,0.6813510507709702
0.5,0.6421021287681619,0.6813510507709702
0.501,0.6422894679676266,0.6813510507709702
0.502,0.6424845264809822,0.6813510507709702
0.503,0.6427105996376486,0.6813510507709702
0.504,0.64291758018447,0.6813510507709702
0.505,0.643106436448438,0.6813510507709702
0.506,0.6432697220600826,0.6813510507709702
0.507,0.6434323490765618,0.6813510507709702
0.508,0.6434323490765618,0.6813510507709702
0.509,0.6434323490765618,0.6813510507709702
0.51,0.6434323490765618,0.6813510507709702
0.511,0.6434323490765618,0.6813510507709702
0.512,0.6434323490765618,0.6813510507709702
0.513,0.6434323490765618,0.6813510507709702
0.514,0.6434323490765618,0.6813510507709702
0.515,0.6434323490765618,0.6813510507709702
0.516,0.6435411279046811,0.6813510507709702
0.517,0.6437686694142889,0.6813510507709702
0.518,0.6439216762127022,0.6813510507709702
0.519,0.6441480405914117,0.6813510507709702
0.52,0.6443105604215836,0.6813510507709702
0.521,0.6444751863370272,0.6813510507709702
0.522,0.6446515018122282,0.6813510507709702
0.523,0.6448636539411267,0.6813510507709702
0.524,0.6450419947523129,0.6813510507709702
0.525,0.6452548075446617,0.6813510507709702
0.526,0.6454399442073909,0.6813510507709702
0.527,0.6456455648142841,0.6813510507709702
0.528,0.6458497735276307,0.6813510507709702
0.529,0.6460364649586863,0.6813510507709702
0.53,0.6462716573750469,0.6813510507709702
0.531,0.6464915841634923,0.6813510507709702
0.532,0.646649778936307,0.6813510507709702
0.533,0.6468790360253445,0.6813510507709702
0.534,0.6470859565842831,0.6813510507709702
0.535,0.6472819699536716,0.6813510507709702
0.536,0.6474918878217933,0.6813510507709702
0.537,0.6476902417186181,0.6813510507709702
0.538,0.6478851560775529,0.6813510507709702
0.539,0.6480946905757194,0.6813510507709702
0.54,0.6483090036877761,0.6813510507709702
